time,Dis Y(Dv),Dis Y Old(Dv),difference Dis Y,Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2),round data
2025-02-20 12:34:24 , -0.023 , -0.022 , -0.001 , 0.13  , 85.478 , 72.139 , 85.478 , 85.193 ,84
2025-02-20 12:34:24 , -0.023 , -0.023 , 0.0 , 0.131  , 85.478 , 72.139 , 85.478 , 85.478 ,85
2025-02-20 12:34:27 , -0.023 , -0.023 , 0.0 , 0.134  , 85.478 , 72.139 , 85.478 , 85.478 ,86
2025-02-20 12:34:28 , -0.023 , -0.023 , 0.0 , 0.136  , 85.478 , 72.139 , 85.478 , 85.478 ,87
2025-02-20 12:34:31 , -0.023 , -0.023 , 0.0 , 0.137  , 85.478 , 72.139 , 85.478 , 85.478 ,88
2025-02-20 12:34:31 , -0.022 , -0.023 , 0.001 , 0.137  , 85.478 , 72.139 , 85.478 , 85.763 ,89
2025-02-20 12:34:34 , -0.021 , -0.022 , 0.001 , 0.141  , 85.478 , 72.139 , 85.478 , 85.763 ,90
2025-02-20 12:34:35 , -0.022 , -0.021 , -0.001 , 0.142  , 85.478 , 72.139 , 85.478 , 85.193 ,91
2025-02-20 12:34:38 , -0.021 , -0.022 , 0.001 , 0.148  , 85.478 , 72.139 , 85.478 , 85.763 ,92
2025-02-20 12:34:38 , -0.022 , -0.021 , -0.001 , 0.147  , 85.478 , 72.139 , 85.478 , 85.193 ,93
2025-02-20 12:34:41 , -0.024 , -0.022 , -0.002 , 0.148  , 85.478 , 72.139 , 85.478 , 84.907 ,94
2025-02-20 12:34:42 , -0.023 , -0.024 , 0.001 , 0.148  , 85.478 , 72.139 , 85.478 , 85.763 ,95
2025-02-20 12:34:45 , -0.022 , -0.023 , 0.001 , 0.152  , 85.478 , 72.139 , 85.478 , 85.763 ,96
2025-02-20 12:34:45 , -0.023 , -0.022 , -0.001 , 0.153  , 85.478 , 72.139 , 85.478 , 85.193 ,97
2025-02-20 12:34:48 , -0.024 , -0.023 , -0.001 , 0.155  , 85.206 , 72.139 , 85.206 , 84.921 ,98
2025-02-20 12:34:49 , -0.023 , -0.024 , 0.001 , 0.156  , 85.206 , 72.139 , 85.206 , 85.491 ,99
2025-02-20 12:34:52 , -0.021 , -0.023 , 0.002 , 0.162  , 85.206 , 72.139 , 85.206 , 85.776 ,100
2025-02-20 12:34:52 , -0.021 , -0.021 , 0.0 , 0.162  , 85.206 , 72.139 , 85.206 , 85.206 ,101
2025-02-20 12:34:55 , -0.021 , -0.021 , 0.0 , 0.165  , 84.933 , 72.139 , 84.933 , 84.933 ,102
2025-02-20 12:34:56 , -0.021 , -0.021 , 0.0 , 0.165  , 84.933 , 72.139 , 84.933 , 84.933 ,103
2025-02-20 12:34:59 , -0.022 , -0.021 , -0.001 , 0.167  , 84.933 , 72.139 , 84.933 , 84.648 ,104
2025-02-20 12:34:59 , -0.023 , -0.022 , -0.001 , 0.168  , 84.933 , 72.139 , 84.933 , 84.648 ,105
2025-02-20 12:35:02 , -0.023 , -0.023 , 0.0 , 0.171  , 84.933 , 72.139 , 84.933 , 84.933 ,106
2025-02-20 12:35:03 , -0.023 , -0.023 , 0.0 , 0.171  , 84.933 , 72.139 , 84.933 , 84.933 ,107
2025-02-20 12:35:06 , -0.024 , -0.023 , -0.001 , 0.174  , 84.933 , 72.139 , 84.933 , 84.648 ,108
2025-02-20 12:35:06 , -0.024 , -0.024 , 0.0 , 0.174  , 84.933 , 72.139 , 84.933 , 84.933 ,109
2025-02-20 12:35:09 , -0.023 , -0.024 , 0.001 , 0.179  , 84.661 , 72.139 , 84.661 , 84.946 ,110
2025-02-20 12:35:10 , -0.023 , -0.023 , 0.0 , 0.179  , 84.661 , 72.139 , 84.661 , 84.661 ,111
2025-02-20 12:35:13 , -0.023 , -0.023 , 0.0 , 0.181  , 84.661 , 72.139 , 84.661 , 84.661 ,112
2025-02-20 12:35:13 , -0.023 , -0.023 , 0.0 , 0.182  , 84.661 , 72.139 , 84.661 , 84.661 ,113
2025-02-20 12:35:16 , -0.023 , -0.023 , 0.0 , 0.186  , 84.661 , 70.778 , 84.661 , 84.661 ,114
2025-02-20 12:35:17 , -0.023 , -0.023 , 0.0 , 0.186  , 84.389 , 70.778 , 84.389 , 84.389 ,115
2025-02-20 12:35:20 , -0.023 , -0.023 , 0.0 , 0.189  , 84.117 , 70.778 , 84.117 , 84.117 ,116
2025-02-20 12:35:20 , -0.023 , -0.023 , 0.0 , 0.19  , 84.117 , 70.778 , 84.117 , 84.117 ,117
2025-02-20 12:35:23 , -0.023 , -0.023 , 0.0 , 0.194  , 83.844 , 70.778 , 83.844 , 83.844 ,118
2025-02-20 12:35:24 , -0.023 , -0.023 , 0.0 , 0.194  , 83.844 , 70.778 , 83.844 , 83.844 ,119
2025-02-20 12:35:27 , -0.024 , -0.023 , -0.001 , 0.198  , 83.844 , 70.778 , 83.844 , 83.56 ,120
